,0,1,2,3
255,BUY,40285,806682155181403,0
256,END,40285,806682155181403,20061476465246571775
257,SELL,40295,806682155181403,32505257443034633885
258,BUY,40295,1304347117179040,0
259,END,40295,1304347117179040,32505257443034633885
260,SELL,40300,1304347117179040,52565188822315312000
261,BUY,40295,2111029272360443,0
262,END,40295,2111029272360443,52565188822315312000
263,SELL,40300,2111029272360443,85074479676125852900
264,BUY,40310,3414267262517473,0
265,SELL,40800,3414267262517473,86747470634759414670
266,BUY,40805,3372849242790819,0
267,END,40805,3372849242790819,86747470634759414670
268,SELL,40815,3372849242790819,137662841844507277485
269,BUY,40820,5496731601833385,0
270,SELL,41310,5496731601833385,140356240329405636135
271,BUY,41305,5432189419848415,0
272,END,41305,5432189419848415,140356240329405636135
273,SELL,41315,5432189419848415,224430905881037265725
274,BUY,41310,8829165439754162,0
275,SELL,41810,8829165439754162,228845488600914346725
276,BUY,41820,8721492690488867,0
277,END,41820,8721492690488867,228845488600914346725
278,SELL,41830,8721492690488867,364820039243149306610
279,BUY,41835,14188557736755318,0
280,SELL,42340,14188557736755318,371985260900210742200
281,BUY,42330,14022639095609704,0
282,END,42330,14022639095609704,371985260900210742200
283,SELL,42340,14022639095609704,593718539308114867360
284,BUY,42340,22804997019777268,0
285,END,42340,22804997019777268,593718539308114867360
286,SELL,42345,22804997019777268,965677598802468413460
287,BUY,42345,36823287592997624,0
288,SELL,42860,36823287592997624,984641591912862189820
289,BUY,42855,36385068559689288,0
290,END,42855,36385068559689288,984641591912862189820
291,SELL,42860,36385068559689288,1559464038468282883680
292,BUY,42855,59361187843620264,0
293,SELL,43370,59361187843620264,1590035050207747319640
294,BUY,43375,58649537868319232,0
295,END,43375,58649537868319232,1590035050207747319640
296,SELL,43385,58649537868319232,2544510200417029880320
297,BUY,43390,95274458521458720,0
298,END,43390,95274458521458720,2544510200417029880320
299,SELL,43395,95274458521458720,4134435127538701154400
300,BUY,43405,153864046899277120,0
301,END,43405,153864046899277120,4134435127538701154400
302,SELL,43415,153864046899277120,6680007596132116164800
303,BUY,43425,249001821144544032,0
304,END,43425,249001821144544032,6680007596132116164800
305,SELL,43430,249001821144544032,10814149092307547309760
306,BUY,43430,402784058930093056,0
307,END,43430,402784058930093056,10814149092307547309760
308,SELL,43435,402784058930093056,17494925599628591887360
309,BUY,43440,651635837284564608,0
310,END,43440,651635837284564608,17494925599628591887360
311,SELL,43445,651635837284564608,28310318950827909394560
312,BUY,43435,1054494908973640576,0
313,SELL,43960,1054494908973640576,28863928778039070696960
314,BUY,43960,1041901418818700672,0
315,END,43960,1041901418818700672,28863928778039070696960
316,SELL,43965,1041901418818700672,45807195878364175044480
317,BUY,43955,1698689913532229632,0
318,END,43955,1698689913532229632,45807195878364175044480
319,SELL,43960,1698689913532229632,74674408598876814622720
320,BUY,43950,2741140182654683136,0
321,END,43950,2741140182654683136,74674408598876814622720
322,SELL,43955,2741140182654683136,120486816728586597242880
323,BUY,43950,4440216601286692864,0
324,END,43950,4440216601286692864,120486816728586597242880
325,SELL,43960,4440216601286692864,195191921792563018301440
326,BUY,43950,7181668631516193792,0
327,SELL,44485,7181668631516193792,199034114510424181980160
328,BUY,44475,7096893453741129728,0
329,END,44475,7096893453741129728,199034114510424181980160
330,SELL,44485,7096893453741129728,315705305289674155950080
331,BUY,44485,11569482991245608960,0
332,END,44485,11569482991245608960,315705305289674155950080
333,SELL,44490,11569482991245608960,514726298280517142630400
334,BUY,44500,18660084407982809088,0
335,SELL,45040,18660084407982809088,524802743860827859537920
336,BUY,45035,18438409151887089664,0
337,END,45035,18438409151887089664,524802743860827859537920
338,SELL,45045,18438409151887089664,830558140246753953914880
339,BUY,45045,30084948385304981504,0
340,END,45045,30084948385304981504,830558140246753953914880
341,SELL,45055,30084948385304981504,1355477349499915941662720
342,BUY,45060,48507204621900062720,0
343,END,45060,48507204621900062720,1355477349499915941662720
344,SELL,45070,48507204621900062720,2186219712309035826790400
345,BUY,45070,78571377629525917696,0
346,END,45070,78571377629525917696,2186219712309035826790400
347,SELL,45075,78571377629525917696,3541604846650880740147200
348,BUY,45085,127036302585599836160,0
349,END,45085,127036302585599836160,3541604846650880740147200
350,SELL,45090,127036302585599836160,5728066883584696612454400
351,BUY,45090,205567455061491449856,0
352,END,45090,205567455061491449856,5728066883584696612454400
353,SELL,45095,205567455061491449856,9270064385997956931256320
354,BUY,45095,332566879527826751488,0
355,SELL,45640,332566879527826751488,9451313335340622510817280
356,BUY,45630,328667618503338754048,0
357,END,45630,328667618503338754048,9451313335340622510817280
358,SELL,45635,328667618503338754048,14998746770399864040980480
359,BUY,45645,535620917244998778880,0
360,SELL,46195,535620917244998778880,15293338274884613369364480
361,BUY,46185,529358379726057570304,0
362,END,46185,529358379726057570304,15293338274884613369364480
363,SELL,46190,529358379726057570304,24451063559546599172341760
364,BUY,46190,860397381306182795264,0
365,END,46190,860397381306182795264,24451063559546599172341760
366,SELL,46195,860397381306182795264,39746057029439114227220480
367,BUY,46185,1389906216349013377024,0
368,END,46185,1389906216349013377024,39746057029439114227220480
369,SELL,46190,1389906216349013377024,64199768133160927884738560
370,BUY,46195,2250002719591260749824,0
371,END,46195,2250002719591260749824,64199768133160927884738560
372,SELL,46205,2250002719591260749824,103961375658714202945617920
373,BUY,46200,3639364583651065462784,0
374,SELL,46760,3639364583651065462784,105999419825558799604776960
375,BUY,46765,3595394927075360505856,0
376,END,46765,3595394927075360505856,105999419825558799604776960
377,SELL,46770,3595394927075360505856,168156620739314610858885120
378,BUY,46765,5862034931898600390656,0
379,END,46765,5862034931898600390656,168156620739314610858885120
380,SELL,46770,5862034931898600390656,274167373764897540270981120
381,BUY,46760,9458825584464342548480,0
382,END,46760,9458825584464342548480,274167373764897540270981120
383,SELL,46765,9458825584464342548480,442341978457474979279667200
384,BUY,46755,15323752712960114425856,0
385,END,46755,15323752712960114425856,442341978457474979279667200
386,SELL,46765,15323752712960114425856,716615295621579751125155840
387,BUY,46755,24784601359254095396864,0
388,END,46755,24784601359254095396864,716615295621579751125155840
389,SELL,46760,24784601359254095396864,1158927959558721500757360640
390,BUY,46755,40111631529750936158208,0
391,END,46755,40111631529750936158208,1158927959558721500757360640
392,SELL,46765,40111631529750936158208,1875820448488802529438597120
393,BUY,46760,64891943792391497973760,0
394,END,46760,64891943792391497973760,1875820448488802529438597120
395,SELL,46765,64891943792391497973760,3034671751451188402742886400
396,BUY,46760,105007864418755967713280,0
397,SELL,47330,105007864418755967713280,3094526234169879304339456000
398,BUY,47325,103754204759028614037504,0
399,END,47325,103754204759028614037504,3094526234169879304339456000
400,SELL,47330,103754204759028614037504,4910686511244824302395064320
401,BUY,47325,169143031682850667626496,0
402,END,47325,169143031682850667626496,4910686511244824302395064320
403,SELL,47330,169143031682850667626496,8005539689549322098762055680
404,BUY,47330,272879367961878982557696,0
405,END,47330,272879367961878982557696,8005539689549322098762055680
406,SELL,47340,272879367961878982557696,12918109279315351034281328640
407,BUY,47350,441835695357656897159168,0
408,SELL,47920,441835695357656897159168,13169955625669215465662054400
409,BUY,47915,436625694984557134086144,0
410,END,47915,436625694984557134086144,13169955625669215465662054400
411,SELL,47920,436625694984557134086144,20923103303659977865408020480
412,BUY,47930,711263838949598748999680,0
413,END,47930,711263838949598748999680,20923103303659977865408020480
414,SELL,47940,711263838949598748999680,34097988439243764027044659200
415,BUY,47930,1147798437398586396246016,0
416,END,47930,1147798437398586396246016,34097988439243764027044659200
417,SELL,47940,1147798437398586396246016,55025457088888231836034007040
418,BUY,47930,1859210672726017296039936,0
419,END,47930,1859210672726017296039936,55025457088888231836034007040
420,SELL,47935,1859210672726017296039936,89121263597121639085674332160
421,BUY,47945,3006307740799796370210816,0
422,SELL,48525,3006307740799796370210816,90864922086785520980396605440
423,BUY,48535,2969762534926264402182144,0
424,END,48535,2969762534926264402182144,90864922086785520980396605440
425,SELL,48540,2969762534926264402182144,144152273445320874081921269760
426,BUY,48535,4841915045213387381276672,0
427,END,48535,4841915045213387381276672,144152273445320874081921269760
428,SELL,48540,4841915045213387381276672,235026556294657823487169658880
429,BUY,48530,7812788381717548278743040,0
430,END,48530,7812788381717548278743040,235026556294657823487169658880
431,SELL,48540,7812788381717548278743040,379232748048569793450187161600
432,BUY,48550,12650487671666539703042048,0
433,END,48550,12650487671666539703042048,379232748048569793450187161600
434,SELL,48555,12650487671666539703042048,614244428897768835281206640640
435,BUY,48565,20455346947554415688548352,0
436,END,48565,20455346947554415688548352,614244428897768835281206640640
437,SELL,48575,20455346947554415688548352,993618477977455742071236198400
438,BUY,48585,33089602828151673652772864,0
439,END,48585,33089602828151673652772864,993618477977455742071236198400
440,SELL,48595,33089602828151673652772864,1607989249434030581156497326080
441,BUY,48595,53529721810540276110852096,0
442,END,48595,53529721810540276110852096,1607989249434030581156497326080
443,SELL,48600,53529721810540276110852096,2601544479992257418987411865600
444,BUY,48595,86619324638691954058592256,0
445,END,48595,86619324638691954058592256,2601544479992257418987411865600
446,SELL,48605,86619324638691954058592256,4210132274063622427017876602880
447,BUY,48600,140140134996080107613847552,0
448,END,48600,140140134996080107613847552,4210132274063622427017876602880
449,SELL,48610,140140134996080107613847552,6812211962159454031109129502720
450,BUY,48610,226721720528144745677979648,0
451,END,48610,226721720528144745677979648,6812211962159454031109129502720
452,SELL,48620,226721720528144745677979648,11023210052078397534863370485760
453,BUY,48625,366748684771878028040994816,0
454,END,48625,366748684771878028040994816,11023210052078397534863370485760
455,SELL,48630,366748684771878028040994816,17834988540456428503633577902080
456,BUY,48625,593447092012564867461414912,0
457,END,48625,593447092012564867461414912,17834988540456428503633577902080
458,SELL,48635,593447092012564867461414912,28862299320031092328985914245120
459,BUY,48645,959838696465564748417597440,0
460,END,48645,959838696465564748417597440,28862299320031092328985914245120
461,SELL,48650,959838696465564748417597440,46696152583049725010516115456000
462,BUY,48655,1552844573211355170140585984,0
463,END,48655,1552844573211355170140585984,46696152583049725010516115456000
464,SELL,48665,1552844573211355170140585984,75569181155330599354891616911360
465,BUY,48675,2511552240218761706162094080,0
466,END,48675,2511552240218761706162094080,75569181155330599354891616911360
467,SELL,48680,2511552240218761706162094080,122262363053849319855970739814400
468,BUY,48680,4063660362530378455172775936,0
469,END,48680,4063660362530378455172775936,122262363053849319855970739814400
470,SELL,48685,4063660362530378455172775936,197839304749791475090086596444160
471,BUY,48675,6575888022636428156536356864,0
472,SELL,49260,6575888022636428156536356864,201686199243033785561660365209600
473,BUY,49260,6497794346362730776956502016,0
474,END,49260,6497794346362730776956502016,201686199243033785561660365209600
475,SELL,49265,6497794346362730776956502016,320113838473559931726762071818240
476,BUY,49255,10593189498423752451399090176,0
477,END,49255,10593189498423752451399090176,320113838473559931726762071818240
478,SELL,49260,10593189498423752451399090176,521820514692354045755919182069760
479,BUY,49260,17090568153033330616963170304,0
480,END,49260,17090568153033330616963170304,521820514692354045755919182069760
481,SELL,49270,17090568153033330616963170304,842052292899952199497775400878080
482,BUY,49270,27678138865654067068393226240,0
483,END,49270,27678138865654067068393226240,842052292899952199497775400878080
484,SELL,49280,27678138865654067068393226240,1363978683299432425130418189107200
485,BUY,49270,44768707018687399884379652096,0
486,END,49270,44768707018687399884379652096,1363978683299432425130418189107200
487,SELL,49280,44768707018687399884379652096,2206201881880915066302229255290880
488,BUY,49270,72452463529737377800683257856,0
489,END,49270,72452463529737377800683257856,2206201881880915066302229255290880
490,SELL,49275,72452463529737377800683257856,3570095140427809291128667530854400
491,BUY,49285,117194577660364727727838724096,0
492,END,49285,117194577660364727727838724096,3570095140427809291128667530854400
493,SELL,49295,117194577660364727727838724096,5777106705767679253343809904312320
494,BUY,49305,189555418323068339161552388096,0
