,0,1,2,3
591,END,60680,35,0
592,BUY,60645,35,0
593,END,60645,35,0
594,BUY,60610,35,0
595,END,60610,35,0
596,BUY,60635,35,0
597,END,60635,35,0
598,BUY,60660,35,0
599,END,60660,35,0
600,BUY,60625,35,0
601,END,60625,35,0
602,BUY,60590,35,0
603,END,60590,35,0
604,BUY,60550,35,0
605,END,60550,35,0
606,BUY,60575,35,0
607,END,60575,35,0
608,BUY,60535,35,0
609,END,60535,35,0
