코드,종목명,종가,거래량,52주신고가,52주신저가,사분위75%,사분위50%,사분위25%,외국인지분율,매출액_년도,매출액_분기,영업이익_년도,영업이익_분기,당기순이익_년도,당기순이익_분기,영업이익률_년도,영업이익률_분기,순이익률_년도,순이익률_분기,ROE(지배주주)_년도,ROE(지배주주)_분기,부채비율_년도,부채비율_분기,당좌비율_년도,당좌비율_분기,유보율_년도,유보율_분기,EPS(원)_년도,EPS(원)_분기,PER(배)_년도,PER(배)_분기,BPS(원)_년도,BPS(원)_분기,PBR(배)_년도,PBR(배)_분기,주당배당금(원)_년도,주당배당금(원)_분기,시가배당률(%)_년도,시가배당률(%)_분기,배당성향(%)_년도,배당성향(%)_분기,TARGET_TF_ROE,TARGET_TF_FRGN,HIGH_VS_RT,LOW_VS_RT,75_VS_RT,50_VS_RT,25_VS_RT,PER_MEDIAN,PBR_MEDIAN
060850,영림원소프트랩,10050,3705,13550,9470,12530.0,11510.0,10490.0,8.52,"[380, 439, 477, 524]","[83, 108, 136, 150, 139]","[43, 43, 43, 50]","[-14, 1, 27, 29, 19]","[43, 49, 49]","[-11, 1, 29, 30, 20]","[9, 9, 9]","[-16, 1, 20, 19, 13]","[11, 10]","[-13, 1, 20, 20, 14]","[22, 13]","[11, 13, 22]","[55, 49]","[59, 50, 48, 49, 53]","[293, 368]","[296, 423, 410, 368, 279]","[729, 834]","[686, 688, 757, 834, 860]","[714, 686, 607, 590]","[-132, 14, 351, 374, 245]","[20, 18, 17]","[33, 21, 18, 10]","[1578, 4149, 4630]","[3930, 3942, 4291, 4630, 4728]","[3, 2]","[3, 3, 2, 2, 2]","[80, 110]",[],"[0, 0]",[],"[13, 18]",[],T,T,74.17,106.11999999999999,80.21000000000001,87.32,95.81,18.0,2.5
048260,오스템임플란트,106900,70439,140756,73939,124051.75,107347.5,90643.25,30.23,"[5650, 6316, 8246, 9811]","[1948, 1715, 2015, 2133, 2383]","[429, 981, 1433, 1774]","[467, 255, 342, 355, 481]","[-220, 1035, 234, 1286]","[419, 145, 281, 315, -507]","[15, 17, 18]","[23, 14, 16, 16, 20]","[16, 2, 13]","[21, 8, 13, 14, -21]","[78, 12, 46]","[78, 91, 82, 57, 12]","[408, 432]","[408, 411, 381, 377, 432]","[64, 47]","[64, 63, 63, 72, 47]","[3250, 3453]","[3250, 3356, 3722, 4156, 3453]","[-1138, 7493, 1751, 8676]","[2932, 1134, 1934, 2185, -3502]","[6, 81, 12]","[6, 9, 12, 16, 81]","[5880, 14082, 15220, 24576]","[14082, 14701, 16686, 19039, 15220]","[3, 9, 4]","[3, 5, 6, 7, 9]","[630, 300, 300]",[],"[1, 0]",[],"[8, 12]",[],T,T,75.94999999999999,144.57999999999998,86.17,99.58,117.93,12.0,4.0
240810,원익IPS,38600,205392,52000,34400,47600.0,43200.0,38800.0,18.77,"[6692, 10909, 12323, 13542]","[2545, 4325, 3733, 1720, 2087, 3067]","[411, 1406, 1641, 2075]","[243, 1007, 651, -259, 220, 491]","[429, 978, 1451, 1677]","[256, 760, 547, -112, 216, 372]","[12, 13, 15]","[9, 23, 17, -15, 10, 16]","[8, 11, 12]","[10, 17, 14, -6, 10, 12]","[15, 19, 19]","[17, 21, 15, 19, 19]","[65, 45]","[83, 68, 32, 45, 48]","[57, 42]","[54, 78, 122, 42, 75]","[2670, 3231]","[2735, 3048, 3274, 3231, 3250]","[885, 1993, 2957, 3403]","[523, 1548, 1114, -229, 439, 940]","[22, 14, 11]","[23, 16, 16, 14, 13, 41]","[11739, 13737, 16597, 19725]","[14067, 15659, 16813, 16597, 16696]","[3, 2, 1]","[3, 3, 2, 2, 2]","[200, 300, 322]",[],"[0, 0]",[],"[9, 9]",[],T,T,74.22999999999999,112.21000000000001,81.08999999999999,89.35,99.48,14.0,2.0
074600,원익QnC,33650,243898,35250,21600,31837.5,28425.0,25012.5,7.93,"[2631, 5256, 6241, 7226]","[1426, 1603, 1587, 1626, 1817, 1788]","[274, 412, 868, 1182]","[200, 244, 267, 157, 340, 323]","[36, 155, 625, 859]","[150, 171, 168, 137, 229, 234]","[13, 16]","[14, 15, 16, 9, 18, 18]","[10, 11]","[10, 10, 10, 8, 12, 13]","[21, 22]","[19, 17, 20, 21, 21]",[116],"[137, 123, 122, 116, 110]",[80],"[39, 81, 84, 80, 90]",[2188],"[1852, 1968, 2085, 2188, 2297]","[99, 982, 2235, 2932]","[607, 579, 597, 452, 700, 978]","[12, 11]","[13, 18, 11, 12, 11, 34]","[8103, 9070, 11705, 14633]","[9770, 10386, 11159, 11705, 12347]","[2, 2]","[2, 2, 2, 2, 2]","[150, 125]",[],[0],[],[6],[],T,T,95.46,155.79000000000002,105.69,118.38,134.53,11.5,2.0
069080,웹젠,20950,128512,32950,19300,29537.5,26125.0,22712.5,26.04,"[1761, 2941, 2848, 2840]","[780, 716, 664, 687, 698, 709]","[518, 1083, 1030, 907]","[373, 232, 163, 262, 223, 228]","[422, 863, 869, 761]","[314, 184, 144, 226, 187, 197]",[36],"[47, 32, 24, 38, 31, 32]",[30],"[40, 25, 21, 32, 26, 27]",[18],"[26, 27, 21, 18, 15]",[21],"[20, 21, 21, 21, 19]",[179],"[158, 289, 314, 179, 353]",[3164],"[2854, 2958, 3040, 3164, 3270]","[1207, 2441, 2460, 2156]","[888, 521, 410, 642, 531, 535]",[11],"[13, 9, 9, 11, 11, 39]","[11420, 14184, 16832, 19623]","[15213, 15677, 16171, 16832, 17486]",[1],"[2, 1, 1, 1, 1]",[],[],[],[],[],[],T,T,63.580000000000005,108.55,70.93,80.19,92.24,11.0,1.0
053580,웹케시,19250,25663,39650,18300,34312.5,28975.0,23637.5,19.02,"[612, 728, 819, 923]","[205, 190, 210, 214, 191, 225]","[93, 143, 187, 224]","[38, 43, 47, 58, 42, 55]","[93, 174, 149, 172]","[35, 41, 40, 33, 25, 43]","[15, 19, 22, 24]","[18, 22, 22, 27, 22, 24]","[15, 23, 18, 18]","[17, 21, 18, 15, 13, 19]","[23, 28, 17, 16]","[31, 29, 25, 17, 16]","[16, 47, 37]","[53, 51, 44, 37, 30]","[278, 137, 123]","[165, 110, 105, 123, 83]","[1637, 2102, 1378]","[2150, 1098, 1329, 1378, 1395]","[700, 1300, 1095, 1250]","[265, 304, 287, 240, 185, 312]","[30, 27, 24, 15]","[24, 24, 20, 24, 25, 61]","[4096, 5093, 7329, 8322]","[5282, 5796, 7132, 7329, 7188]","[5, 7, 3, 2]","[6, 6, 4, 3, 3]","[101, 126, 100, 100]",[],"[0, 0, 0]",[],"[14, 9, 9]",[],T,T,48.55,105.19000000000001,56.10000000000001,66.44,81.44,25.5,4.0
036200,유니셈,10000,90681,15800,9800,14300.0,12800.0,11300.0,5.14,"[1790, 2151, 2961, 3257]","[776, 861, 690, 633, 600, 795]","[240, 322, 437, 500]","[136, 147, 109, 44, 81, 122]","[213, 205, 382, 414]","[127, 118, 88, 49, 57]","[13, 14, 14, 15]","[17, 17, 15, 6, 13, 15]","[11, 9, 12, 12]","[16, 13, 12, 7, 9]","[18, 15, 23, 19]","[17, 18, 21, 23, 18]","[35, 33, 27]","[35, 31, 29, 27, 29]","[259, 250, 298]","[231, 259, 272, 298, 275]","[723, 817, 1050]","[884, 961, 1019, 1050, 1064]","[718, 686, 1244, 1278]","[413, 386, 287, 159, 187]","[7, 12, 11, 7]","[15, 14, 11, 11, 11]","[4376, 5003, 6222, 7425]","[5357, 5761, 6059, 6222, 6298]","[1, 1, 2, 1]","[2, 2, 2, 2, 1]","[50, 80, 120, 125]",[],"[0, 0, 0]",[],"[6, 11, 9]",[],T,T,63.29,102.03999999999999,69.93,78.12,88.5,9.0,1.0
000700,유수홀딩스,5990,35145,8440,5130,7612.5,6785.0,5957.5,10.78,"[3661, 3348, 5037]","[1070, 1142, 1319, 1506, 1470]","[-78, -152, 203]","[21, 26, 67, 90, 82]","[-25, 629, 392]","[73, 52, 123, 144, 110]","[-4, 4]","[1, 2, 5, 5, 5]","[18, 7]","[6, 4, 9, 9, 7]","[30, 7]","[31, 30, 33, 7, 9]","[28, 22]","[28, 23, 23, 22, 24]","[210, 348]","[244, 308, 337, 348, 340]","[403, 421]","[391, 396, 408, 421, 419]","[156, 3071, 923]","[174, 140, 303, 305, 312]","[1, 6]","[2, 2, 1, 6, 5]","[9072, 12244, 13108]","[11971, 12326, 12746, 13108, 13073]","[0, 0]","[0, 0, 0, 0, 0]","[500, 400]",[],"[8, 6]",[],"[15, 39]",[],T,T,70.97,116.75999999999999,78.69,88.28,100.55000000000001,3.5,0.0
272290,이녹스첨단소재,43300,289313,57400,28399,50149.75,42899.5,35649.25,22.77,"[3493, 3363, 4873, 5676]","[960, 1084, 1407, 1421, 1310, 1352]","[465, 438, 967, 1272]","[136, 199, 308, 324, 310, 298]","[345, 252, 802, 1007]","[111, 192, 256, 243, 260, 244]","[13, 19, 22]","[14, 18, 21, 22, 23, 22]","[9, 16, 17]","[11, 17, 18, 17, 19, 18]","[21, 31, 28]","[15, 22, 25, 31, 34]","[86, 46]","[73, 70, 56, 46, 43]","[105, 184]","[161, 158, 171, 184, 195]","[4022, 2990]","[4606, 4997, 2750, 2990, 3201]","[1767, 1290, 4091, 5033]","[568, 982, 1302, 1237, 1316, 1198]","[14, 11, 8]","[17, 13, 12, 11, 11, 36]","[9350, 10568, 15712, 20005]","[11348, 12408, 14478, 15712, 16750]","[2, 2, 2]","[2, 2, 2, 2, 3]","[350, 354]",[],[0],[],"[0, 8]",[],T,T,75.44,152.47,86.33999999999999,100.93,121.46,11.0,2.0
123570,이엠넷,5820,102381,8490,5480,7737.5,6985.0,6232.5,25.27,"[367, 254, 352]","[-22, 119, 80, 76, 116]","[77, 39, 99]","[-1, 37, 18, 22, 35]","[81, 79, 263]","[41, 32, 190, 31, 10]","[21, 15, 28]","[5, 30, 23, 28, 30]","[22, 31, 74]","[-189, 26, 237, 41, 8]","[13, 11, 34]","[11, 14, 37, 38, 34]","[56, 68, 45]","[68, 68, 35, 40, 45]","[241, 227, 293]","[227, 232, 340, 286, 293]","[398, 451, 674]","[451, 468, 637, 665, 674]","[323, 317, 1157]","[172, 130, 845, 140, 42]","[10, 13, 5]","[13, 12, 6, 5, 5]","[2617, 2861, 4060]","[2861, 2935, 3872, 4017, 4060]","[1, 1, 1]","[1, 1, 1, 1, 1]","[30, 50, 200]",[],"[0, 1, 2]",[],"[9, 15, 16]",[],T,T,68.55,106.2,75.22,83.32000000000001,93.38,10.0,1.0
092130,이크레더블,18450,8439,22200,17150,20937.5,19675.0,18412.5,11.5,"[409, 429, 457]","[94, 210, 91, 62, 91]","[167, 169, 182]","[32, 123, 26, 2, 29]","[137, 131, 139]","[25, 96, 21, -3, 24]","[40, 39, 39]","[33, 58, 28, 2, 32]","[33, 30, 30]","[26, 45, 22, -4, 26]","[26, 23, 22]","[25, 22, 22, 22, 32]","[16, 16, 16]","[40, 24, 17, 16, 136]","[615, 627, 632]","[312, 459, 617, 632, 158]","[799, 867, 956]","[770, 927, 960, 956, 462]","[1134, 1084, 1156]","[208, 799, 172, -23, 199]","[16, 21, 17]","[20, 19, 18, 17, 17]","[4460, 4804, 5260]","[4312, 5111, 5283, 5260, 2739]","[4, 4, 3]","[5, 4, 3, 3, 7]","[740, 700, 2720]",[],"[3, 2, 13]",[],"[65, 64, 235]",[],T,T,83.11,107.58000000000001,88.12,93.77,100.2,17.0,4.0
041830,인바디,26900,18085,32850,19600,29537.5,26225.0,22912.5,29.88,"[1171, 1071, 1378, 1631]","[330, 338, 330, 380, 386, 402]","[276, 191, 359, 429]","[102, 88, 79, 89, 115, 109]","[204, 176, 340, 360]","[100, 83, 71, 86, 101]","[23, 17, 26, 26]","[31, 25, 23, 23, 29, 27]","[17, 16, 24, 22]","[30, 24, 21, 22, 26]","[15, 12, 20, 17]","[15, 19, 19, 20, 19]","[10, 10, 10]","[12, 12, 12, 10, 13]","[498, 612, 564]","[510, 517, 525, 564, 439]","[2053, 2282, 2753]","[2402, 2524, 2628, 2753, 2862]","[1493, 1280, 2487, 2609]","[734, 609, 517, 627, 735, 643]","[15, 13, 9, 10]","[12, 13, 11, 9, 11, 41]","[10502, 11520, 14104, 16658]","[12183, 12845, 13458, 14104, 14695]","[2, 1, 1, 1]","[1, 2, 1, 1, 1]","[140, 140, 200, 200]",[],"[0, 0, 0]",[],"[9, 10, 7]",[],T,T,81.89,137.24,91.07,102.57000000000001,117.39999999999999,11.5,1.0
216050,인크로스,31750,8169,57500,30950,50862.5,44225.0,37587.5,15.0,"[345, 394, 518, 575]","[105, 125, 131, 158, 93, 136]","[122, 148, 214, 236]","[38, 54, 61, 62, 18, 56]","[93, 123, 211, 196]","[32, 43, 54, 83, 16, 47]","[41, 41]","[36, 42, 46, 39, 19, 41]","[40, 34]","[30, 34, 41, 52, 16, 34]","[25, 19]","[20, 21, 21, 25, 23]",[147],"[125, 132, 127, 147, 112]",[149],"[158, 163, 164, 149, 164]",[2702],"[2271, 2380, 2514, 2702, 2618]","[1157, 1528, 2621, 2433]","[391, 538, 666, 1025, 193]","[20, 13]","[34, 29, 22, 20, 17]","[8946, 10301, 12877, 14869]","[10324, 10958, 11719, 12877, 12445]","[4, 2]","[5, 5, 3, 4, 3]","[722, 722]",[],[1],[],[24],[],T,T,55.22,102.58,62.419999999999995,71.78999999999999,84.47,16.5,3.0
950140,잉글우드랩,6330,45672,11700,6100,10300.0,8900.0,7500.0,10.83,"[1333, 1372, 1608]","[338, 488, 435, 337, 314]","[67, 79, 170]","[26, 64, 62, 16, 9]","[23, 31, 150]","[18, 38, 53, 40, 7]",[10],"[7, 13, 14, 4, 2]",[9],"[5, 7, 12, 12, 2]",[21],"[6, 13, 18, 21, 18]",[58],"[81, 85, 76, 58, 57]",[173],"[98, 114, 140, 173, 141]",[1280],"[1049, 1117, 1211, 1280, 1291]","[114, 155, 755]","[90, 190, 267, 204, 34]",[11],"[31, 18, 16, 11, 11]","[3077, 3053, 4074]","[3260, 3439, 3868, 4074, 4182]",[2],"[2, 2, 2, 2, 1]",[],[],[],[],[],[],T,T,54.1,103.77000000000001,61.46,71.12,84.39999999999999,11.0,2.0
040420,정상제이엘에스,7750,28802,8400,7060,8065.0,7730.0,7395.0,5.88,"[936, 854, 1017, 1128]","[243, 251, 266, 256, 278, 277]","[134, 88, 170, 190]","[42, 44, 55, 28, 49, 51]","[77, 67, 136, 152]","[31, 36, 42, 27, 37]","[14, 10, 16, 16]","[17, 17, 20, 11, 17, 18]","[8, 7, 13, 13]","[12, 14, 15, 10, 13]","[12, 10, 20, 20]","[17, 17, 18, 20, 21]","[73, 55, 54]","[67, 58, 53, 54, 61]","[58, 78, 69]","[76, 74, 58, 69, 61]","[766, 778, 871]","[748, 790, 840, 871, 831]","[489, 428, 870, 970]","[201, 231, 268, 170, 233]","[15, 14, 8, 7]","[9, 10, 9, 8, 8]","[4282, 4290, 4822, 4887]","[4125, 4358, 4642, 4822, 4600]","[1, 1, 1, 1]","[1, 1, 1, 1, 1]","[430, 430, 530, 530]",[],"[5, 6, 7]",[],"[74, 84, 52]",[],T,T,92.25999999999999,109.77,96.09,100.25999999999999,104.80000000000001,11.0,1.0
