jongmok,date,time,price,gap
A005930,20210402,1303,84700,1800
A005930,20210402,1302,84600,1700
A005930,20210402,1301,84700,1800
A122630,20210402,1300,27375,505
A122630,20210402,1259,27410,540
A122630,20210402,1258,27410,540
A122630,20210402,1257,27410,540
A122630,20210402,1256,27405,535
A122630,20210402,1255,27405,535
A122630,20210402,1254,27410,540
A122630,20210402,1253,27395,525
A122630,20210402,1252,27415,545
A122630,20210402,1251,27415,545
A005930,20210402,1300,84700,1800
A005930,20210402,1259,84600,1700
A005930,20210402,1258,84700,1800
A005930,20210402,1257,84700,1800
A005930,20210402,1256,84700,1800
A005930,20210402,1255,84600,1700
A005930,20210402,1254,84600,1700
A005930,20210402,1253,84600,1700
A005930,20210402,1252,84700,1800
A005930,20210402,1251,84700,1800
A122630,20210402,1250,27425,555
A122630,20210402,1249,27425,555
A122630,20210402,1248,27420,550
A122630,20210402,1247,27435,565
A122630,20210402,1246,27440,570
A122630,20210402,1245,27455,585
A122630,20210402,1244,27440,570
A122630,20210402,1243,27430,560
A122630,20210402,1242,27445,575
A122630,20210402,1241,27430,560
A005930,20210402,1250,84800,1900
A005930,20210402,1249,84700,1800
A005930,20210402,1248,84800,1900
A005930,20210402,1247,84800,1900
A005930,20210402,1246,84700,1800
A005930,20210402,1245,84700,1800
A005930,20210402,1244,84700,1800
A005930,20210402,1243,84700,1800
A005930,20210402,1242,84700,1800
A005930,20210402,1241,84800,1900
A122630,20210402,1240,27430,560
A122630,20210402,1239,27420,550
A122630,20210402,1238,27420,550
A122630,20210402,1237,27425,555
A122630,20210402,1236,27430,560
A122630,20210402,1235,27430,560
A122630,20210402,1234,27425,555
A122630,20210402,1233,27420,550
A122630,20210402,1232,27415,545
A122630,20210402,1231,27430,560
A005930,20210402,1240,84800,1900
A005930,20210402,1239,84700,1800
A005930,20210402,1238,84800,1900
A005930,20210402,1237,84800,1900
A005930,20210402,1236,84700,1800
A005930,20210402,1235,84700,1800
A005930,20210402,1234,84600,1700
A005930,20210402,1233,84700,1800
A005930,20210402,1232,84700,1800
A005930,20210402,1231,84800,1900
A122630,20210402,1230,27455,585
A122630,20210402,1229,27440,570
A122630,20210402,1228,27440,570
A122630,20210402,1227,27435,565
A122630,20210402,1226,27410,540
A122630,20210402,1225,27400,530
A122630,20210402,1224,27405,535
A122630,20210402,1223,27380,510
A122630,20210402,1222,27375,505
A122630,20210402,1221,27395,525
A005930,20210402,1230,84700,1800
A005930,20210402,1229,84700,1800
A005930,20210402,1228,84700,1800
A005930,20210402,1227,84600,1700
A005930,20210402,1226,84700,1800
A005930,20210402,1225,84700,1800
A005930,20210402,1224,84600,1700
A005930,20210402,1223,84700,1800
A005930,20210402,1222,84600,1700
A005930,20210402,1221,84600,1700
A122630,20210402,1220,27395,525
A122630,20210402,1219,27410,540
A122630,20210402,1218,27405,535
A122630,20210402,1217,27395,525
A122630,20210402,1216,27385,515
A122630,20210402,1215,27385,515
A122630,20210402,1214,27370,500
A122630,20210402,1213,27385,515
A122630,20210402,1212,27425,555
A122630,20210402,1211,27430,560
A005930,20210402,1220,84600,1700
A005930,20210402,1219,84600,1700
A005930,20210402,1218,84600,1700
A005930,20210402,1217,84600,1700
A005930,20210402,1216,84600,1700
A005930,20210402,1215,84600,1700
A005930,20210402,1214,84700,1800
A005930,20210402,1213,84600,1700
A005930,20210402,1212,84700,1800
A005930,20210402,1211,84700,1800
A122630,20210402,1210,27420,550
A122630,20210402,1209,27435,565
A122630,20210402,1208,27430,560
A122630,20210402,1207,27445,575
A122630,20210402,1206,27455,585
A122630,20210402,1205,27465,595
A122630,20210402,1204,27460,590
A122630,20210402,1203,27455,585
A122630,20210402,1202,27480,610
A122630,20210402,1201,27485,615
A005930,20210402,1210,84700,1800
A005930,20210402,1209,84700,1800
A005930,20210402,1208,84700,1800
A005930,20210402,1207,84700,1800
A005930,20210402,1206,84700,1800
A005930,20210402,1205,84800,1900
A005930,20210402,1204,84800,1900
A005930,20210402,1203,84800,1900
A005930,20210402,1202,84800,1900
A005930,20210402,1201,84900,2000
A122630,20210402,1200,27500,630
A122630,20210402,1159,27525,655
A122630,20210402,1158,27515,645
A122630,20210402,1157,27520,650
A122630,20210402,1156,27525,655
A122630,20210402,1155,27530,660
A122630,20210402,1154,27530,660
A122630,20210402,1153,27540,670
A122630,20210402,1152,27555,685
A122630,20210402,1151,27555,685
A005930,20210402,1200,84900,2000
A005930,20210402,1159,84800,1900
A005930,20210402,1158,84900,2000
A005930,20210402,1157,84800,1900
A005930,20210402,1156,84800,1900
A005930,20210402,1155,84800,1900
A005930,20210402,1154,84900,2000
A005930,20210402,1153,84800,1900
