CD,NM,ROE,PER,PBR,PROFIT,INCOME
A306040,에스제이그룹,"[0.0, 0, 33.03, 20.6, 23.66]","[0.0, 0, 11.29, 9.9, 10.54]","[0, 2.86, 1.86, 2.23]","[0, 164, 180, 277]","[0, 131, 156, 224]"
A004060,SG세계물산,"[4.81, -5.16, 21.32]","[18.93, -11.83, 2.95]","[0.89, 0.62, 0.57]","[1, -208, -47]","[97, -104, 470]"
A016250,SGC이테크건설,"[6.68, 79.74, 39.96]","[11.73, 1.16, 2.3]","[0.94, 0.84, 0.74]","[129, -364, 691]","[315, 1807, 696]"
A302440,SK바이오사이언스,"[0.0, 0, 6.49, 0, 13.25, 0, 39.14]","[0.0, 0, 0.0, 0, 0.0, 0, 34.54]","[0, 0, 0, 8.16]","[0, 0, 0, 4684]","[0, 0, 0, 3717]"
A326030,SK바이오팜,"[-313.66, 0, -135.18, 15.75]","[0.0, 0, -49.1, 117.39]","[0, 34.91, 17.14]","[0, -2395, 950]","[0, -2474, 648]"
A000660,SK하이닉스,"[4.23, 9.53, 16.84]","[34.15, 18.14, 9.93]","[1.34, 1.56, 1.45]","[27192, 50126, 124103]","[20091, 47589, 96162]"
A036640,HRS,"[1.36, 11.93, 23.05]","[44.52, 10.05, 5.68]","[0.6, 1.11, 1.16]","[16, 103, 179]","[10, 92, 208]"
A011200,HMM,"[-55.46, 8.92, 88.62]","[-1.91, 36.32, 1.96]","[1.04, 2.7, 1.27]","[-2997, 9808, 73775]","[-5898, 1240, 53372]"
A230240,에치에프알,"[0.66, 1.29, -35.73, 22.9]","[292.5, 339.19, -13.71, 18.95]","[1.69, 4.32, 5.48, 3.88]","[29, 22, -259, 211]","[6, 4, -290, 193]"
A230360,에코마케팅,"[19.46, 32.65, 42.16, 21.34]","[12.02, 16.52, 18.35, 16.42]","[2.13, 4.89, 6.74, 3.7]","[169, 378, 589, 365]","[160, 334, 548, 306]"
A247540,에코프로비엠,"[26.73, 0, 12.99, 0.0, 16.89]","[0.0, 0, 30.37, 75.69, 71.91]","[0, 2.93, 8.03, 10.28]","[0, 371, 548, 1278]","[0, 345, 467, 982]"
A060250,NHN한국사이버결제,"[15.47, 20.2, 21.35, 19.67]","[15.56, 20.83, 56.04, 30.05]","[2.52, 4.33, 11.83, 5.19]","[218, 321, 398, 433]","[168, 245, 299, 336]"
A061970,엘비세미콘,"[24.47, 16.71, 16.16]","[10.48, 23.87, 17.97]","[2.28, 3.71, 2.56]","[504, 428, 442]","[365, 316, 383]"
A058970,엠로,"[-4.52, 8.53, 0.0, 37.55]","[-18.69, 16.26, 17.1, 30.63]","[0.84, 1.52, 4.12, 9.63]","[-4, 9, 65, 78]","[-6, 10, 38, 65]"
A347890,엠투아이,"[16.2, 0, 20.58, 16.0]","[0.0, 0, 13.88, 15.34]","[0, 2.47, 2.34]","[0, 108, 115]","[0, 100, 100]"
A048260,오스템임플란트,"[11.45, -17.24, 78.8, 43.3]","[60.22, -37.16, 6.81, 19.44]","[6.76, 7.19, 3.62, 6.63]","[310, 429, 981, 1341]","[63, -220, 1035, 1026]"
A104830,원익머트리얼즈,"[16.28, 9.55, 10.26, 15.26]","[6.52, 13.61, 13.34, 8.07]","[0.98, 1.24, 1.31, 1.14]","[422, 360, 459, 488]","[412, 281, 331, 562]"
A240810,원익IPS,"[25.45, 9.16, 15.91, 19.88]","[9.55, 40.5, 22.2, 12.18]","[2.25, 3.05, 3.22, 2.19]","[1059, 411, 1406, 1734]","[869, 429, 978, 1456]"
A074600,원익QnC,"[21.25, 1.23, 11.44, 21.84]","[6.49, 157.36, 21.64, 11.56]","[1.25, 1.93, 2.34, 2.28]","[412, 274, 412, 880]","[412, 36, 155, 595]"
A101160,월덱스,"[28.23, 24.22, 21.96, 28.32]","[4.61, 7.02, 13.32, 12.36]","[1.14, 1.52, 2.67, 3.08]","[220, 234, 358, 434]","[175, 194, 218, 334]"
A069080,웹젠,"[12.74, 21.83, 18.51]","[13.51, 14.17, 11.75]","[1.43, 2.44, 1.72]","[518, 1083, 1030]","[422, 863, 869]"
A053580,웹케시,"[24.23, 28.66, 17.87]","[30.98, 27.87, 24.43]","[5.29, 7.12, 3.65]","[93, 143, 187]","[93, 174, 149]"
A065370,위세아이텍,"[27.29, 18.82, 16.0]","[18.54, 22.43, 34.48]","[4.47, 3.06, 5.08]","[29, 37, 58]","[27, 34, 40]"
A014830,유니드,"[9.87, 10.29, 20.51]","[6.15, 5.58, 4.89]","[0.58, 0.54, 0.88]","[848, 962, 1683]","[675, 768, 1824]"
A036200,유니셈,"[18.57, 15.25, 23.11]","[7.56, 12.49, 11.73]","[1.24, 1.71, 2.35]","[240, 322, 437]","[213, 205, 382]"
A077500,유니퀘스트,"[12.68, 10.8, 23.53]","[7.14, 16.75, 5.29]","[0.83, 1.71, 1.07]","[69, 90, 245]","[224, 205, 604]"
A084370,유진테크,"[2.45, 1.47, 22.86]","[65.56, 219.26, 19.62]","[1.55, 3.18, 3.95]","[238, 223, 739]","[108, 99, 632]"
A025820,이구산업,"[-3.26, 1.86, 18.72]","[-17.72, 34.92, 5.77]","[0.59, 0.65, 0.99]","[6, 59, 356]","[-34, 19, 211]"
A088390,이녹스,"[-9.23, 7.54, 32.18]","[-5.01, 11.82, 5.81]","[0.46, 0.81, 1.49]","[-51, 106, 242]","[-189, 124, 545]"
A272290,이녹스첨단소재,"[21.1, 13.17, 31.38]","[14.73, 17.67, 11.28]","[2.78, 2.16, 2.93]","[465, 438, 967]","[345, 252, 802]"
A264850,이랜시스,"[14.03, 5.78, 12.79, 18.39]","[0.0, 48.82, 18.28, 16.64]","[0.0, 2.12, 2.12, 2.72]","[41, 41, 43, 67]","[20, 11, 34, 60]"
A139480,이마트,"[2.76, 4.05, 16.25]","[15.2, 11.67, 2.68]","[0.39, 0.45, 0.41]","[1507, 2372, 3168]","[2238, 3626, 15891]"
A005950,이수화학,"[2.31, -2.4, -31.08, 15.63]","[22.45, -22.05, -2.91, 7.63]","[0.47, 0.51, 1.2, 1.09]","[74, 94, -327, 810]","[-16, -189, -1399, 720]"
A123570,이엠넷,"[8.88, 13.02, 11.68, 35.6]","[11.3, 10.96, 13.1, 5.43]","[0.92, 1.35, 1.45, 1.64]","[56, 77, 72, 92]","[45, 81, 79, 268]"
A091120,이엠텍,"[0.21, 0.51, 16.48]","[348.25, 210.54, 14.73]","[0.74, 0.98, 2.09]","[-56, 21, 371]","[-4, 6, 341]"
