날짜,종가,전일비,시가,고가,저가,거래량,NM
2022.03.17,51500,300,51300,51900,51100,6707,S-Oil우
2022.03.16,51200,1350,49450,51300,49450,10360,S-Oil우
2022.03.15,49850,1150,51400,51400,49850,11931,S-Oil우
2022.03.14,51000,300,51100,51300,50500,4637,S-Oil우
2022.03.11,50700,1200,51900,51900,50100,12490,S-Oil우
2022.03.10,51900,1300,52100,52600,50800,12379,S-Oil우
2022.03.08,53200,1000,54000,54700,52700,14189,S-Oil우
2022.03.22,89400,1700,88900,89500,88300,315947,S-Oil
2022.03.21,87700,2300,86500,88600,86400,410225,S-Oil
2022.03.18,85400,500,86300,86700,85300,264305,S-Oil
2022.03.17,84900,100,85000,86100,84500,371910,S-Oil
2022.03.16,85000,2400,82200,86000,81500,558897,S-Oil
2022.03.15,82600,2900,84000,85400,82600,366121,S-Oil
2022.03.14,85500,1100,84500,86300,84100,405894,S-Oil
2022.03.11,84400,3800,88600,88600,84200,687663,S-Oil
2022.03.10,88200,3700,87300,89400,86500,1059502,S-Oil
2022.03.08,91900,1700,94000,95200,90700,1054264,S-Oil
2022.03.22,7090,40,7160,7160,7010,6250,SBI핀테크솔루션즈
2022.03.21,7050,40,7190,7190,7030,9470,SBI핀테크솔루션즈
2022.03.18,7090,60,7030,7160,6940,4919,SBI핀테크솔루션즈
2022.03.17,7030,40,7180,7180,6870,11548,SBI핀테크솔루션즈
2022.03.16,7070,80,7000,7170,6990,11276,SBI핀테크솔루션즈
2022.03.15,6990,100,6990,7060,6990,5856,SBI핀테크솔루션즈
2022.03.14,7090,90,7000,7180,7000,12132,SBI핀테크솔루션즈
2022.03.11,7000,40,6970,7090,6970,12210,SBI핀테크솔루션즈
2022.03.10,7040,230,6810,7060,6810,16003,SBI핀테크솔루션즈
2022.03.08,6810,0,6660,6810,6660,7043,SBI핀테크솔루션즈
2022.03.22,8120,100,8050,8170,7990,140833,SIMPAC
2022.03.21,8020,200,8220,8220,7990,329536,SIMPAC
2022.03.18,8220,270,7990,8400,7950,553741,SIMPAC
2022.03.17,7950,50,8070,8070,7860,522981,SIMPAC
2022.03.16,8000,10,8090,8230,7980,719432,SIMPAC
2022.03.15,8010,110,7890,8110,7820,617632,SIMPAC
2022.03.14,7900,70,7830,7920,7670,716958,SIMPAC
2022.03.11,7830,50,7820,7920,7690,293998,SIMPAC
2022.03.10,7780,30,7830,7830,7580,366797,SIMPAC
2022.03.08,7810,30,7710,7880,7600,593576,SIMPAC
2022.03.22,31250,150,31100,31300,30950,11429,SK디앤디
2022.03.21,31100,50,31200,31250,30750,11208,SK디앤디
2022.03.18,31050,500,30550,31050,30350,17160,SK디앤디
2022.03.17,30550,250,30400,30800,30250,16108,SK디앤디
